-1,command,speech,response
-1,test,测试,测试成功，我听见了！
-1,stop,停下,遵命，停止运行！
-1,stop,停止,遵命，停止运行！
-1,turn left,左转,遵命，向左转！
-1,turn right,右转,遵命，向右转！
-1,go straight,前进,遵命，前进！
-1,go straight,向前,遵命，向前行走！
-1,go straight,直走,遵命，向前直走！
-1,backward,后退,向后退，请注意！
-1,rotate left,左转弯,左转弯
-1,rotate right,右转弯,右转弯
-1,reset speed,重置速度,重置速度
-1,hello,你好,你好
-1,go your self,自由行走,"go ahead, do not block me!"
-1,time,什么时间,null
-1,time,现在时间,null
-1,date,什么日期,null
-1,date,现在日期,null
1,gopanpan,潘潘那里去,好的，这就过去
2,gopanpan,去潘潘那,好的，这就过去
3,goback,回来,马上回来
4,goyutou,去芋头那,OK，芋头，我来了
5,goyutou,芋头那,OK，芋头，我来了
